기관ID,구,주소
C1102968,성북구,서울특별시 성북구 동소문로 71 (동소문동6가)
C1102967,종로구,서울특별시 종로구 혜화로 2 1층 (혜화동)
C1102971,도봉구,서울특별시 도봉구 도당로 109 방학동상가주택 1층 102호 (방학동)
C1102039,노원구,서울특별시 노원구 화랑로 463 (공릉동)
C1103846,중랑구,서울특별시 중랑구 신내로 135 신내9단지아파트 제상가1동 1층 117호 (신내동)
C1102054,양천구,서울특별시 양천구 곰달래로5길 30
C1102970,영등포구,서울특별시 영등포구 당산로 164 (당산동4가)
C1108684,송파구,서울특별시 송파구 백제고분로 162 대양빌딩 1층 103호 (잠실동)
C1103329,관악구,서울특별시 관악구 남부순환로 1539 (신림동)
C1106961,동작구,서울특별시 동작구 만양로 5 (상도동)
C1102063,구로구,서울특별시 구로구 고척로21나길 18 (개봉동)
C1100893,강서구,서울특별시 강서구 곰달래로 271 (화곡동)
C1104249,영등포구,서울특별시 영등포구 신풍로 113
C1103196,동작구,서울특별시 동작구 상도로 202 (상도동)
C1102043,강남구,서울특별시 강남구 삼성로 212
C1107773,관악구,서울특별시 관악구 남부순환로 1715 101호 (봉천동 신우빌딩)
C1104271,양천구,서울특별시 양천구 오목로 350
C1102064,도봉구,서울특별시 도봉구 해등로 190 (쌍문동)
C1104829,중랑구,서울특별시 중랑구 동일로 786 1층 (중화동)
C1103687,금천구,서울특별시 금천구 시흥대로 391  (독산동)
C1107256,강동구,서울특별시 강동구 아리수로93길 27
C1102801,노원구,서울특별시 노원구 상계로1길 38 (상계동)
C1102923,영등포구,서울특별시 영등포구 국제금융로 108 1층(여의도동은하빌딩)
C1102069,은평구,서울특별시 은평구 증산로15길 7
C1103227,종로구,서울특별시 종로구 새문안로 21 (평동)
C1104819,강남구,서울특별시 강남구 강남대로 488 (논현동) 1층
C1102917,용산구,서울특별시 용산구 효창원로93길 2 (청파동2가)
C1102916,금천구,서울특별시 금천구 남부순환로 1384
C1107212,동대문구,서울특별시 동대문구 왕산로32길 7 4층 6호 (용두동)
